Date,Close,High,Low,Open,Volume
27/09/2019,4.271521568,4.419244154,4.210840551,4.368511016,362056000
30/09/2019,4.328970432,4.339166869,4.266051453,4.297386903,186184000
01/10/2019,4.327226639,4.501310663,4.32250173,4.352095853,366008000
02/10/2019,4.30335474,4.317281393,4.230985476,4.305344126,293372000
03/10/2019,4.509021282,4.515238469,4.277489784,4.307830053,450588000
04/10/2019,4.525435925,4.554781507,4.446103335,4.511260243,265524000
07/10/2019,4.584125996,4.683850956,4.581639026,4.590343182,480984000
08/10/2019,4.40755558,4.49235921,4.389401128,4.49235921,444436000
09/10/2019,4.494100094,4.543589987,4.455553247,4.484401244,292412000
10/10/2019,4.551795006,4.602776684,4.486638126,4.491860619,309124000
11/10/2019,4.625409126,4.708720473,4.616953525,4.635854114,446404000
14/10/2019,4.638838291,4.659728267,4.585618184,4.616704593,200040000
15/10/2019,4.883548737,4.956166994,4.715184788,4.729111908,664124000
16/10/2019,4.829832554,4.954427205,4.818392874,4.84947928,428944000
17/10/2019,4.831822872,4.91936202,4.777359044,4.874348961,263436000
18/10/2019,4.737320423,4.864899179,4.662961779,4.83232049,307440000
21/10/2019,4.874597073,4.888026612,4.779845579,4.798746167,261868000
22/10/2019,4.864649296,5.036743484,4.856939834,4.931547012,328720000
23/10/2019,4.851718426,4.865893632,4.750749731,4.78258228,279916000
24/10/2019,4.895737171,4.929310079,4.85893068,4.893001172,232020000
25/10/2019,5.086730003,5.107619973,4.968601587,4.976311048,423092000
28/10/2019,5.142686367,5.195159854,5.101154501,5.130500075,330792000
29/10/2019,5.046442986,5.135225852,5.027045287,5.128759637,211236000
30/10/2019,5.048433304,5.079022608,4.980291844,5.073302529,205960000
31/10/2019,4.999191761,5.048432621,4.919362075,5.027542646,209732000
01/11/2019,5.038236141,5.070565794,4.938759263,4.963877038,283640000
04/11/2019,5.234951019,5.247385867,5.096181625,5.119309541,376716000
05/11/2019,5.212818146,5.260815287,5.16482053,5.234702816,300868000
06/11/2019,5.163576126,5.21430878,5.076036517,5.188693899,269012000
07/11/2019,5.18123436,5.264794745,5.136469851,5.250121955,280340000
08/11/2019,5.167307377,5.19889137,5.126770672,5.164323298,189100000
11/11/2019,5.17725563,5.200383549,5.080265702,5.166561613,243436000
12/11/2019,5.212818146,5.26877378,5.180488013,5.21555367,283504000
13/11/2019,5.186954021,5.209087245,5.120553402,5.181482498,300188000
14/11/2019,5.217293262,5.219531677,5.135971315,5.195905707,518080000
15/11/2019,5.078025818,5.26678216,4.989740081,5.215054344,1053628000
18/11/2019,5.279218197,5.305827774,5.067581978,5.070566056,574588000
19/11/2019,5.172529697,5.271757556,5.114336126,5.248132056,414564000
20/11/2019,5.251862049,5.335670977,5.136966713,5.149650116,472588000
21/11/2019,5.226992607,5.303092069,5.205356495,5.247385472,288388000
22/11/2019,5.244648933,5.29612772,5.221022966,5.249622397,224100000
25/11/2019,5.501298904,5.506272843,5.35979353,5.372725486,506476000
26/11/2019,5.396600246,5.488367187,5.390134031,5.483641803,385244000
27/11/2019,5.431443214,5.47648949,5.405062738,5.442145123,215784000
29/11/2019,5.39411068,5.428952989,5.370218539,5.400581665,141556000
02/12/2019,5.207704067,5.400582382,5.192522977,5.387142933,372036000
03/12/2019,5.168132782,5.172114489,4.986703083,5.024034197,465232000
04/12/2019,5.211935997,5.274154698,5.183315452,5.251755928,273424000
05/12/2019,5.195011616,5.249515151,5.164399748,5.233836111,184884000
06/12/2019,5.280375481,5.313227416,5.254243745,5.264198963,232236000
09/12/2019,5.280375481,5.335128231,5.24876866,5.257479238,211880000
10/12/2019,5.32542181,5.377187801,5.257727566,5.310488984,256388000
11/12/2019,5.409044743,5.414520303,5.333387065,5.33587587,233796000
12/12/2019,5.576537609,5.594705458,5.371216181,5.3801755,404348000
13/12/2019,5.57454586,5.698734504,5.520539797,5.579523469,454704000
16/12/2019,5.603415012,5.675837658,5.593957745,5.622080809,320976000
17/12/2019,5.681562901,5.704210409,5.612624475,5.622081744,321196000
18/12/2019,5.711924076,5.772400644,5.707941894,5.716403734,343548000
19/12/2019,5.860004902,5.873444351,5.74154056,5.746518169,445360000
20/12/2019,5.957315445,5.982700493,5.907291563,5.926454837,603044000
23/12/2019,5.943627357,6.018040862,5.932925924,5.985936088,355060000
24/12/2019,5.938649178,5.955821596,5.893851646,5.928196484,138864000
26/12/2019,5.95283556,5.98095815,5.923219118,5.942133653,182852000
27/12/2019,5.895097256,5.981456839,5.868716304,5.968017387,254644000
30/12/2019,5.781858921,5.878422456,5.750500836,5.873196109,258056000
31/12/2019,5.856022358,5.865479624,5.727354078,5.746517348,231004000
02/01/2020,5.97075367,5.97075367,5.891363042,5.941884394,237536000
03/01/2020,5.875186443,5.918988548,5.826157991,5.851045562,205384000
