Date,key_0,Close,High,Low,Open,Volume,finbert_sentiment
2021-12-29,2021-12-29,29.94137573,30.48728951,29.3076375,30.21283643,343139000.0,0.0
2021-12-30,2021-12-30,29.52719879,30.39646798,29.48129069,29.76771903,308864000.0,0.0
2021-12-31,2021-12-31,29.35255241,29.97032369,29.27271147,29.61503026,266530000.0,0.0
2022-01-03,2022-01-03,30.06113625,30.6499638,29.72580359,29.75574465,391547000.0,0.0
2022-01-04,2022-01-04,29.23179245,30.40745089,28.29266253,30.21683048,527154000.0,0.0
2022-01-05,2022-01-05,27.54914474,29.35754417,27.47828669,28.89147124,498064000.0,0.0
2022-01-06,2022-01-06,28.12199783,28.38148133,27.01121087,27.58506696,454186000.0,0.0
2022-01-07,2022-01-07,27.1928463,28.36551213,27.00322339,28.08507048,409939000.0,0.0
2022-01-10,2022-01-10,27.34554863,27.41441175,25.59303774,26.52817595,594681000.0,0.0
2022-01-11,2022-01-11,27.76171684,28.00922507,26.78566175,27.26869912,404089000.0,0.0
2022-01-12,2022-01-12,27.94335747,28.53817179,27.55313377,28.01122122,383413000.0,0.0
2022-01-13,2022-01-13,26.52218437,28.42339707,26.44533584,28.32259797,540171000.0,0.0
2022-01-14,2022-01-14,26.88845634,27.14295064,26.15791073,26.24773202,395832000.0,0.0
2022-01-18,2022-01-18,25.85151863,26.58505846,25.71878354,26.20780946,424270000.0,0.0
2022-01-19,2022-01-19,25.01717758,26.49024379,25.002208,26.02716722,488315000.0,0.0
2022-01-20,2022-01-20,24.102005,25.52816593,24.03014759,25.25371283,435181000.0,0.0
2022-01-21,2022-01-21,23.32754707,24.77366674,23.21676761,23.46028217,718958000.0,0.0
2022-01-24,2022-01-24,23.32555008,23.3335336,20.84648754,22.28562114,913982000.0,0.0
2022-01-25,2022-01-25,22.27963448,22.89740571,21.95627896,22.50119341,664616000.0,0.0
2022-01-26,2022-01-26,22.72674179,24.0091878,22.25567973,23.19381209,755959000.0,0.0
